Grupo;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;M26;M27;
1;1;4;;;;;;;;;;;;;;;;;;;;;;;;14;11;
1;2;4;9;1;0;0;0;7;4;3;0;10;3;0;0;0;0;1021;204;0;7;0;17;1;1;14;11;
1;3;4;4;1;0;0;0;8;2;7;0;1;2;7;0;0;1;325;43;0;7;0;8;1;1;14;11;
3;1;4;;;;;;;;;;10;3;;;;;;;;;;;;;13;11;
3;2;4;10;;5;0;5;12;;7;0;10;8;;;;;808;81;0;5;3;5;;;13;11;
3;3;4;10;13;7;0;6;3;;8;1;12;9;;;;;1264;105;0;5;3;6;;;13;11;
5;1;4;3;0;0;0;0;0;0;1;0;0;0;;;;;0;0;0;0;0;0;;;11;11;
5;2;4;2;2;5;1;4;32;6;9;1;17;9;;;;;988;58;0;5;8;4;1;;11;11;
5;3;4;0;1;1;0;1;80;0;11;2;21;13;28;104;0;0;3828;294;0;5;6;5;1;;11;11;
11;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;
11;2;4;2;1;4;0;0;7;0;8;1;11;9;10;15;16;7;2500;150;0;7;0;0;1;1;12;12;
11;3;4;2;1;1;0;4;21;0;2;0;12;9;12;17;8;9;3200;266;0;7;0;0;1;1;12;12;
15;1;4;;;;;;;;;;;;;;;;;;;;;;;;13;13;
15;2;4;4;4;2;0;2;11;0;2;0;16;3;34;36;;;361;20;0;1;3;0;1;;13;13;
15;3;4;5;6;5;1;4;21;0;4;0;19;4;81;84;0;0;445;21;0;6;3;2;1;;13;13;
17;1;4;;;;;;;;;;;;;;;;;;;;;;;;11;11;
17;2;4;3;;;;;7;;;;;;;;;;;;;;;;;;11;11;
17;3;4;1;8;0;0;4;10;0;1;0;12;1;12;12;12;12;717;60;0;7;2;39;1;1;11;11;
19;1;2;;;;;;;;;;6;;;;;;;;;;;;;;11;12;
19;2;2;1;;;;;;;;;6;10;;;;;;;;;;;;;11;12;
19;3;2;1;;;;;;;;;6;10;;;;;;;;;;49;;;11;12;
23;1;4;;;;;;;;;;;;;;;;;;;;;;;;10;12;
23;2;4;1;1;0;0;0;38;0;6;2;8;7;0;0;0;0;169;21;0;5;;590;1;;10;12;
23;3;4;1;0;4;0;4;53;0;8;1;7;18;0;0;0;0;622;207;0;3;3;NA;NA;NA;11;11;
25;1;4;6;6;;;;;;;;;;;;;;;;;;;;;;13;;
25;2;4;10;10;;;;;;;;;;;;;;;;;;;;;;13;;
25;3;4;2;2;;;;;;;;;;;;;;;;;;;;;;13;;
25;4;4;5;3;;;;0;0;;;;;;;;;15;;;;;;;;13;;
25;5;4;10;1;;;;;;;;2;;;;;;35;10;;;;;;;13;;
31;1;1;;;;;;;;;;;;;;;;;;;;;;;;6;5;
31;2;1;7;0;;;;;;5;3;7;2;;;;;;;;7;;;;;5,75;4,75;
31;3;4;7;0;0;3;9;69;0;3;0;11;8,2;149;;;;520;79;0;7;1;1;0,27;;;;
33;2;4;0;0;0;0;0;34;0;0;0;6;11;0;0;0;0;585;97;0;0;0;0;0,75;0;11;10;
33;1;4;;;;;;;;;;;;;;;;;;;;;;;;11;10;
33;3;4;0;0;0;0;0;34;0;0;0;6;11;0;0;0;0;585;97;0;0;0;0;0,75;0;11;10;
35;1;4;4;0;0;0;0;0;0;1;0;;;;;;;0;0;0;7;;;;;;;
35;2;4;5;1;0;0;0;22;0;2;0;5;9;;;;;505;105;0;7;0;0;1;1;;;
37;1;4;;;;;;;;;;;;;;;;;;;;;;;;14,5;12,67;
37;2;4;3;3;3;0;3;13;0;3;0;18;4,38;78;73;0;0;383;21,28;0;7;2;0;0,74;;14,5;12,67;
37;3;4;5;5;6;1;5;23;0;5;0;21;5;105;100;0;0;470;22,38;0;7;2;2;0,77;;14,5;12,67;
39;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,75;11,75;
39;2;2;7;0;0;0;0;21;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;8,75;11,75;
39;3;2;2;1;0;0;0;21;0;0;0;6;3;0;0;0;0;324;50;0;3;0;2;0;0;8,75;11,75;
399;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;11;
399;2;4;5;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;12;11;
399;3;4;5;2;0;0;0;10;0;5;1;5;8,5;0;0;0;0;191;47,75;0;3;0;0;0;0;12;11;
1;4;4;3;1;0;0;0;8;0;7;0;2;3;7;0;0;1;200;35;0;7;0;15;1;1;14,25;11;
3;4;4;7;22;8;0;7;23;5;9;0;14;8,1;8;8;;;1904;136;0;5;3;6;0,67;0,79;13;11;
5;4;4;0;4;2;0;2;93;0;9;1;22;6;124;33;0;0;4365;198;0;5;7;5;0,62;;11;11;
11;4;4;2;1;1;0;15;92;0;24;2;20;8,1;16;23;9;9;3700;185;0;7;0;0;0,7;0,5;12,025;11,5;
15;4;4;6;7;7;2;7;24;0;3;2;21;5,4;98;97;112;112;458;22,43;;6;3;4;0,81;0,83;12,75;12,75;
17;4;4;4;2;1;0;5;50;0;1;0;5;4;48;48;48;48;2456;204,666;0;7;10;52;1;1;11;11;
19;4;2;9;1;5;;5;58;;6;1;7;10,85;74;21;41;0;1493;93,3125;;;2;;0,875;0,875;11;12;
23;4;4;2;2;3;0;3;14;0;18;5;7;18;0;2;0;0;110;27;0;5;4;2;0,8;80;11;11;
25;6;4;15;15;3;2;1;6;3;2;2;15;12;25;110;0;0;3751;53;;8;5;4;;;13;;
31;4;4;7;0;0;3;35;109;0;26;0;22;7,2;262;262;262;262;649;29,5;0;7;1;19;0,53;0,53;14,5;11,5;
33;4;4;0;0;0;0;0;49;0;0;0;4;19;7;7;16;6;1477;369,25;34;7;0;0;0,83;0,96;11;10;
37;4;4;6;6;8;2;6;31;0;3;2;22;5,27;116;116;116;116;485;22,05;0;7;2;3;0,85;0,85;14,5;12,67;
